bo3_id,players,winner,score,replay_urls,maps,total_duration_min,time_span_hours,description
Bo3_630,DearRodney vs rieger202,rieger202,2-1,"https://api.bar-rts.com/replays/8c210768c4a0f285f9f6dd3b2766046e,https://api.bar-rts.com/replays/082507683df9d74f5d322f9c1a4bc85c,https://api.bar-rts.com/replays/712d07688aa45e00c6283de101fd6890","Unknown, Unknown, Unknown",95,0.8,Bo3 630: DearRodney vs rieger202 - rieger202 wins 2-1 (95min)
Bo3_631,jarhead3321 vs sirbeefus,jarhead3321,3-0,"https://api.bar-rts.com/replays/c24d32684059079237b77feeeec7ecc5,https://api.bar-rts.com/replays/7e7d3268e72c3fa18c2da3c9d5c677c5,https://api.bar-rts.com/replays/ea86326854a2bbdd36ae12753c9103ed","Unknown, Unknown, Unknown",94,4.1,Bo3 631: jarhead3321 vs sirbeefus - jarhead3321 wins 3-0 (94min)
Bo3_632,Firestorm_01 vs Megatron55,Firestorm_01,2-1,"https://api.bar-rts.com/replays/dbec62688f9e166741766d92d36fd9fd,https://api.bar-rts.com/replays/4ef2626808c225fb2ee5f9dd24a6420d,https://api.bar-rts.com/replays/85fb6268ab35ffd48fa162769693587d","Unknown, Unknown, Unknown",94,1.0,Bo3 632: Firestorm_01 vs Megatron55 - Firestorm_01 wins 2-1 (94min)
Bo3_633,Yee vs zero2310_,Yee,3-0,"https://api.bar-rts.com/replays/c80d4368735bcb3bc58864e6d71823eb,https://api.bar-rts.com/replays/ed18436821bcbfb0f541a152d0e1efbc,https://api.bar-rts.com/replays/991b4368bd3de783f82afaa0e9eeb235","Unknown, Unknown, Unknown",94,1.0,Bo3 633: Yee vs zero2310_ - Yee wins 3-0 (94min)
Bo3_634,AwfulMcBad vs KingZepp68,KingZepp68,2-1,"https://api.bar-rts.com/replays/6624216879c61f58a31f4600dab8bc69,https://api.bar-rts.com/replays/7f2b216895163544d6c2acce8a8f01b5,https://api.bar-rts.com/replays/072f2168eb170c5782276a160b312091","Unknown, Unknown, Unknown",94,0.8,Bo3 634: AwfulMcBad vs KingZepp68 - KingZepp68 wins 2-1 (94min)
Bo3_635,Cataclan vs KCDQKIRI,Cataclan,3-0,"https://api.bar-rts.com/replays/c8e725681d9adf0164f4363957a2d0b4,https://api.bar-rts.com/replays/a70c2668549812fb7274b2e44a60e7fe,https://api.bar-rts.com/replays/46672b6887f53fcc5a4e267a2ea9ce3c","Unknown, Unknown, Unknown",94,100.1,Bo3 635: Cataclan vs KCDQKIRI - Cataclan wins 3-0 (94min)
Bo3_636,Bodiggity vs ZonnicZtorm,ZonnicZtorm,3-0,"https://api.bar-rts.com/replays/c0da5c680ac2ab66cae488dad3f9034a,https://api.bar-rts.com/replays/4de95c68e4ba8c45d1acf006e7898e66,https://api.bar-rts.com/replays/c7f15c68201db25935bec501286b3972","Unknown, Unknown, Unknown",94,1.6,Bo3 636: Bodiggity vs ZonnicZtorm - ZonnicZtorm wins 3-0 (94min)
Bo3_637,KCDQKIRI vs MajomKenyerFa,MajomKenyerFa,3-0,"https://api.bar-rts.com/replays/a7ed2568074948921bd6f288aab073e7,https://api.bar-rts.com/replays/42f5256884cb959f7e5f8e457c9d7d13,https://api.bar-rts.com/replays/4b0126685d7a04a0521767084b1086ef","Unknown, Unknown, Unknown",94,1.4,Bo3 637: KCDQKIRI vs MajomKenyerFa - MajomKenyerFa wins 3-0 (94min)
Bo3_638,33578 vs superzova,33578,3-0,"https://api.bar-rts.com/replays/7a273e68b1128aa23e690100b97608da,https://api.bar-rts.com/replays/002e3e684e4d4a58a63ac9751181811a,https://api.bar-rts.com/replays/95343e68f17134d105d10b1d472784d1","Unknown, Unknown, Unknown",94,0.9,Bo3 638: 33578 vs superzova - 33578 wins 3-0 (94min)
Bo3_639,ApolloEvans vs Trist030,Trist030,2-1,"https://api.bar-rts.com/replays/08ac5868e112493504d90da24998d06e,https://api.bar-rts.com/replays/c5015a687c293a4555f3fca2fba6222f,https://api.bar-rts.com/replays/9fe95a68ea84812014a8b98a5fec97a4","Unknown, Unknown, Unknown",94,40.8,Bo3 639: ApolloEvans vs Trist030 - Trist030 wins 2-1 (94min)
Bo3_640,eazyr vs hehateme,hehateme,2-1,"https://api.bar-rts.com/replays/edb63768ebf6c5c3da910ae2eb1e3e17,https://api.bar-rts.com/replays/ccb93768d7d16398cdc96db9b33afb07,https://api.bar-rts.com/replays/b9c13768a8baa6a42d1310d5a7da6700","Unknown, Unknown, Unknown",94,0.8,Bo3 640: eazyr vs hehateme - hehateme wins 2-1 (94min)
Bo3_641,Alantin vs KillerWills,Alantin,2-1,"https://api.bar-rts.com/replays/0a5032680edb7cc62054441f5af8885f,https://api.bar-rts.com/replays/5e673468cf4f6ea0f6517582892c5dea,https://api.bar-rts.com/replays/626c3468ecbb5e1c14b32a759adab0b9","Unknown, Unknown, Unknown",94,38.4,Bo3 641: Alantin vs KillerWills - Alantin wins 2-1 (94min)
Bo3_642,Nicotin vs Orti,Orti,2-0,"https://api.bar-rts.com/replays/15de18685fc493074b2b38dfcd9bbf75,https://api.bar-rts.com/replays/211f1e689ec317099ff0b4952231b13b,https://api.bar-rts.com/replays/942e1e68afcaec991f9bb0b08fefcca3","Unknown, Unknown, Unknown",94,96.7,Bo3 642: Nicotin vs Orti - Orti wins 2-0 (94min)
Bo3_643,LIGHTFRONTIER vs batmeanie,batmeanie,2-1,"https://api.bar-rts.com/replays/94516c68fa7b2c1727a40df68e2d1872,https://api.bar-rts.com/replays/bb536c6893abc59db9100fd276448221,https://api.bar-rts.com/replays/235b6c6872edf21eb6c48e561b5e5df5","Unknown, Unknown, Unknown",94,0.7,Bo3 643: LIGHTFRONTIER vs batmeanie - batmeanie wins 2-1 (94min)
Bo3_644,Dootfu vs itz_myrk,itz_myrk,2-0,"https://api.bar-rts.com/replays/2bbc56684e4bbf05984399faeab94c59,https://api.bar-rts.com/replays/2fc356683ff19928059b9525dac9e902,https://api.bar-rts.com/replays/7afa5768f8fca09fb142d3cc50bff234","Unknown, Unknown, Unknown",94,22.6,Bo3 644: Dootfu vs itz_myrk - itz_myrk wins 2-0 (94min)
